,artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
821,Drake,Sandra's Rose,27,6,2,6cblRiEGDRNZgowcm951R3,1.0,63
822,Drake,Summer Games,28,6,2,4HG1YiGBseVKzjyKcmAJen,0.0,62
823,Drake,Jaded,32,7,2,4c2xt1trwYZpMqPWY35Xi9,1.0,65
824,Drake,That's How You Feel,37,8,2,41a7dZcq30Ss5kPMayWRV0,1.0,64
825,Drake,Survival,17,4,2,2yg9UN4eo5eMVJ7OB4RWj3,1.0,61
826,Future,Cuddle My Wrist,71,15,1,5UVNjOSh27encRBqTpBWup,1.0,50
827,Future,Racks Blue,76,16,1,4lc61NBCDzy2srBHDQeTfN,1.0,50
828,Drake,Finesse,42,9,2,2WP8G2pdddDmnh1xbfKBOI,0.0,70
829,Lil Pump,Drug Addicts,83,17,1,6tpHfEM8eaETzlPOARYWfZ,1.0,58
830,J. Cole,KOD,10,2,12,7yotKA30dwTKNEGomV9ZsI,1.0,72
831,Drake,Peak,38,8,2,11L064movtyopGdLiX4sVg,1.0,61
832,Drake,Is There More,36,8,2,1Tnw0ItH1Macok8gblnPPd,1.0,58
833,Drake,Ratchet Happy Birthday,51,11,1,4SUwJA3eUVNHExxMPEUhQe,1.0,58
834,Drake,Final Fantasy,56,12,1,44Du2IM1bGY7dicmLfXbUs,1.0,58
835,Drake,March 14,57,12,1,09lmraDvzBT3pUQ2rUtJzK,1.0,56
836,Lil Pump,Esskeetit,24,5,12,44KKhCyI0BGS6LvVyDqJtH,1.0,64
837,XXXTENTACION,Everybody Dies In Their Nightmares,42,9,7,3GVkPk8mqxz0itaAriG1L7,1.0,83
838,Kanye West,Yikes,8,2,5,1qsHYUd2c1wFGcn7e63QmG,1.0,68
839,Sam Hunt,Downtown's Dead,94,19,2,5eFfsbjSouG8qOpg9ZqDl6,0.0,57
840,Famous Dex,Japan,28,6,15,5PTG6rrL6EPFD9E2QMI2pl,1.0,73
841,XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love),55,11,5,4UKCKdYiLN6IMA5ZESUTL7,1.0,82
842,Blake Shelton,I Lived It,63,13,18,5slddJ629YcePvqD6Uyk8r,0.0,60
843,Rich The Kid,Plug Walk,13,3,20,1ZAyjvIk9YiD76yYy0TEG6,1.0,75
844,Kane Brown,Heaven,15,3,27,1HXy5I3HTWq8OvxCn0z7G7,0.0,77
845,Dua Lipa,New Rules,6,2,48,2ekn2ttSfGqwhhate0LSR0,0.0,81
846,Maroon 5,Wait,24,5,24,6AvfZXpbb6r35DfF7gHPRq,0.0,64
847,Daddy Yankee,Dura,43,9,21,6nR4ZCrJ3j9oKjhrfdDg1O,0.0,13
848,"2 Chainz, Drake & Quavo",Bigger > You,53,11,2,5S1IUPueD0xE0vj4zU3nSf,1.0,64
849,Panic! At The Disco,Say Amen (Saturday Night),60,12,3,76vMKwFtdDDCLcM6zXybjB,0.0,69
850,XXXTENTACION,Hope,70,14,2,2ZRo7axmMPeSVUvDbGkJah,1.0,82
851,BTS,Fake Love,10,2,6,3aW0ds4A4tSQDIp75FqWTo,0.0,72
852,XXXTENTACION,Numb,80,16,3,01TnVDiet1DFTsyWKUKovl,0.0,75
853,YoungBoy Never Broke Again,Overdose,42,9,9,3A1BaBGT3HgzuDrV9pgX9v,1.0,59
854,Dierks Bentley,"Woman, Amen",53,11,12,3nBXOlFTADNvG9nkqy2O2W,0.0,63
855,The Carters,Boss,77,16,2,4F8V44j8cbjHnXjfW2HruU,1.0,54
856,BLACKPINK,DDU-DU DDU-DU,55,11,1,2aI2k39nfa3KFsa4JclQzw,0.0,76
857,Dua Lipa,IDGAF,49,10,23,76cy1WJvNGJTj78UqeA5zr,1.0,81
858,The Weeknd & Kendrick Lamar,Pray For Me,7,2,20,77UjLW8j5UAGAGVGhR5oUK,1.0,75
859,The Carters,Summer,84,17,1,7zmleW3XZx0uUsL2CkFuDe,0.0,52
860,KIDS SEE GHOSTS,Reborn,39,8,2,4RVbK6cV0VqWdpCDcx3hiT,1.0,73
861,The Carters,Nice,95,19,1,44lusH2vzc4sRAwsooRhPh,1.0,53
862,The Carters,Friends,99,20,1,0gu5B9dUOiLezdDjrLPCCV,1.0,50
863,KIDS SEE GHOSTS,Feel The Love,47,10,1,3aUFrxO1B8EW63QchEl3wX,1.0,66
864,Jason Aldean,You Make It Easy,28,6,20,6EGAfJaLUFzhS4zRBIEQ2J,0.0,72
865,KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2)",62,13,1,7GRTrWsP3yo2Fx8umJfA1X,1.0,61
866,KIDS SEE GHOSTS,Fire,67,14,1,6JyEh4kl9DLwmSAoNDRn5b,1.0,69
867,KIDS SEE GHOSTS,Cudi Montage,69,14,1,4kUZvXB3LC3an3HX6h0s17,1.0,65
868,KIDS SEE GHOSTS,KIDS SEE GHOSTS,73,15,1,2I3dW2dCBZAJGj5X21E53k,1.0,62
869,Kanye West,Violent Crimes,27,6,2,3s7MCdXyWmwjdcWh7GWXas,1.0,75
870,Jordan Davis,Singles You Up,50,10,19,4LiMQ6G9n84rDUBs9wtwz6,0.0,72
871,Kanye West,I Thought About Killing You,28,6,1,0yhxBvedRdGxsPZHJNI4VA,1.0,61
872,Kanye West,No Mistakes,36,8,1,35KV2Nuib6jPMVN00O8iba,1.0,61
873,Post Malone,Rich & Sad,14,3,6,2VdT56BGpdqNHUgOe1j5vc,1.0,73
874,Lil Skies,Lust,87,18,4,7oJrVhiTPZGBXWPwhxjy9S,1.0,77
875,Post Malone,Paranoid,11,3,6,3fpVWegR6YOS1Yk5HSMYIq,0.0,73
876,Kendrick Lamar & SZA,All The Stars,7,2,21,3GCdLUSnKSMJhs4Tj6CV3s,1.0,78
877,Offset & Metro Boomin,Ric Flair Drip,13,3,31,7sO5G9EABYOXQKNPNiE9NR,1.0,81
878,Pusha T,Infrared,65,13,1,6cpsixIHI63L0hwh3CwZg3,1.0,52
879,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,21,5,20,51rXHuKN8Loc4sUlKPODgH,1.0,74
880,Pusha T,If You Know You Know,73,15,1,6bGwKHXHNLmTy6yt147FPh,1.0,62
881,Darius Rucker,For The First Time,58,12,10,0LG2cFomCi8Fb664Lvr3Nu,0.0,63
882,Luke Bryan,Most People Are Good,43,9,18,79LAFAkR1ATb4iIQvZuCL0,0.0,67
883,Pusha T,The Games We Play,100,20,1,7iEoaTyBCqLaAwJnOP1BTn,1.0,61
884,Kevin Gates,Change Lanes,68,14,1,59XHPyb0MTMElZpkG0Wp69,1.0,58
885,Kris Wu,Like That,73,15,1,4caEPudXQ1xDd1garjHPFv,0.0,43
886,Lil Baby,Southside,79,16,1,5lf3ajySox32qFvGEf2TFM,1.0,61
887,Kevin Gates,Let It Sing,82,17,1,090R9OdFMbQQksvwuXmNEY,1.0,47
888,Pharrell Williams x Camila Cabello,Sangria Wine,83,17,1,6XlSyYFTU1nodeWwwzVgTV,0.0,61
889,Post Malone,Stay,17,4,4,4H7WNRErSbONkM06blBoGc,1.0,77
890,J. Cole,ATM,6,2,5,2UciqgwVDwro0fev3MFbxJ,1.0,68
891,J. Cole,Kevin's Heart,8,2,5,6tZ3b7ik1QDXFAZlXib0YZ,1.0,73
892,Meghan Trainor,No Excuses,46,10,12,7fCNUWi6uflDTQ08srxMZk,0.0,65
893,YoungBoy Never Broke Again,Outside Today,31,7,19,3sA7HKGzcKTVscdiTCrWpX,1.0,70
894,Migos,Stir Fry,8,2,21,2UVbBKQOdFAekPTRsnkzcf,1.0,73
895,Post Malone,Over Now,24,5,3,09IOPhEh1OMe0HD9b36FJk,1.0,73
896,Post Malone,Zack And Codeine,23,5,3,5lZZmityu9TAjNvSY6GLhR,1.0,70
897,Tank,When We,78,16,20,2HWelwHQS4EdRqIycZOc3O,1.0,63
898,Post Malone,Takin' Shots,29,6,3,5ffntNJnJOeFv7b7DCd0Bw,1.0,70
899,Post Malone,92 Explorer,40,8,3,1D2L6MefbXon28PzIk9I3r,1.0,73
900,Nicki Minaj,Barbie Tingz,25,5,4,2qsQ8eVDPmobZpvDxQCVQu,1.0,66
901,Post Malone,Otherside,46,10,2,4qWCFTuNnmGNdY4egtb4ZY,1.0,70
902,Post Malone,Blame It On Me,47,10,2,1ZemPoaj7LBj1RAQrb89EC,0.0,70
903,YoungBoy Never Broke Again,Diamond Teeth Samurai,59,12,5,1k7KigfkZh2Xb6khqV1a0K,1.0,57
904,Mason Ramsey,Famous,62,13,2,1lasE4yXQmZ5mwWdGQGn8E,0.0,55
905,YoungBoy Never Broke Again,Preach,98,20,1,45RbAX2KxbPdNwUgeYA69j,1.0,54
906,Post Malone,Candy Paint,34,7,21,32lItqlMi4LBhb4k0BaSaC,1.0,78
907,Post Malone,Sugar Wraith,57,12,1,0MrRAUcB8AZiB9ue2VOBYe,1.0,70
908,J. Cole,Motiv8,15,3,2,1AT4xjNarTswd0UZ5FlmKF,1.0,66
909,Post Malone,Jonestown (Interlude),73,15,1,0R6Jlsq25eZB3Wftpxi3oF,0.0,60
910,J. Cole,Photograph,14,3,2,0bhnUFDQFCEHCBlsQfHnj5,1.0,64
911,J. Cole,Brackets,30,6,1,5sWbwccBcyHsg5LEKWGZo9,1.0,62
912,Avicii,Wake Me Up!,4,1,54,4h8VwCb1MTGoLKueQ1WgbD,0.0,84
913,Imagine Dragons,Thunder,4,1,52,1zB4vmk8tFRmM9UULNzbLB,0.0,84
914,NF,Let You Down,12,3,28,52okn5MNA47tk87PeZJLEL,0.0,82
915,Portugal. The Man,Feel It Still,4,1,45,6QgjcU0zLnzq5OrUoSZ3OK,0.0,79
916,J. Cole,Intro,53,11,1,4YwNf1fLZt9IQhJeHNWfBi,1.0,57
917,Brett Eldredge,The Long Way,65,13,12,5vuMtXS5kQ7F0o9V9rG1dG,0.0,64
918,Cardi B,Thru Your Phone,50,10,3,74cVJfmK18rhWnscIpGXjt,1.0,71
919,Post Malone,I Fall Apart,16,4,30,75ZvA4QfFiZvzhj2xkaWAh,1.0,83
920,G-Eazy & Halsey,Him & I,14,3,20,5k38wzpLb15YgncyWdTZE4,1.0,75
921,Halsey,Bad At Love,5,1,33,7y9iMe8SOB6z3NoHE2OfXl,0.0,75
922,Thomas Rhett,Marry Me,30,6,20,0OWZFobGSIW9GrSlQ9C5pc,0.0,71
923,Cardi B,Bickenhead,43,9,2,17Yq72h0p15OhCbZ5lJ5gd,1.0,59
924,Zayn,Let Me,73,15,1,0aVsVsOYDSEEigiwTrIab9,0.0,68
925,The Weeknd,Wasted Times,27,6,3,7DKS0rX27cCEPsK0R6tFWS,1.0,71
926,Cardi B,Get Up 10,38,8,2,7p2ewixAShLpjDZrnzZK7c,1.0,61
927,Cardi B,Money Bag,58,12,2,1vBeIXlzbAieGoDqInav5j,1.0,60
928,6ix9ine,Billy,50,10,8,5KhFaq45chTw8RGfWo8T8J,1.0,75
929,High Valley,She's With Me,79,16,8,2p2cCrOaNrIOLk5ArtlHy6,0.0,57
930,SZA,Broken Clocks,82,17,4,2fXwCWkh6YG5zU1IyvQrbs,1.0,72
931,Scotty McCreery,Five More Minutes,44,9,20,3qTmB5HxP9ilJaiM6B1yuk,0.0,68
932,6ix9ine,Gotti,99,20,1,27oFpFktCq9JIXjJQRuv7a,1.0,72
933,Derez De'Shon,Hardaway,61,13,11,25qhnRgAcImQWfaswqRkwN,1.0,55
934,Demi Lovato,Tell Me You Love Me,53,11,20,1MKZaAEx8RrzoQjHhVuvgs,0.0,68
935,The Weeknd,Try Me,26,6,2,4ppTAJUbNXELZcoUaL90wo,0.0,71
936,Chris Stapleton,Broken Halos,45,9,20,06gD2ZtK3Dzc1BYqWExQJJ,0.0,71
937,Devin Dawson,All On Me,52,11,20,2mfahQ0EaaZWq4cFNg6A1o,0.0,66
938,Alice Merton,No Roots,84,17,3,4CdfFYzaAJ0y0beKzmgJSn,0.0,58
939,The Weeknd,Privilege,52,11,1,0Nwar8rweBUyfyuoyjjUvk,1.0,68
940,YoungBoy Never Broke Again,No Smoke,61,13,18,57IRaiAB4hBZu3gnNVZC0v,1.0,66
941,Chris Brown,Tempo,88,18,4,0709StHzSeXpdj2zmqF2o2,1.0,61
942,"Tyler, The Creator",OKRA,89,18,1,74ZovzRxHBvCq5yIwe8boh,1.0,64
943,Luis Fonsi & Demi Lovato,Echame La Culpa,47,10,20,2hl6q70unbviGo3g1R7uFx,0.0,67
944,Old Dominion,Written In The Sand,51,11,20,2A69wys3S9uiPSmn6UZWJn,0.0,73
945,P!nk,Beautiful Trauma,78,16,15,2DlIwu1iDTILEMXA7MUotn,1.0,66
946,H.E.R.,Focus,100,20,1,3tZs3nVjySLbL320lP4mvs,0.0,67
947,6ix9ine,Gummo,12,3,20,4HbiCvH1R7mVOJ7KY7JQBD,1.0,72
948,Lil Xan,Betrayed,64,13,20,4vaxvNDaLSoD36iZX515ug,1.0,74
949,Logic,44 More,22,5,5,3e7Y6sfFlIdBMJhX7wpqVO,1.0,70
950,Blac Youngsta,Booty,73,15,5,0FbSpY8RPxTRxi1Fpj9Dz9,1.0,61
951,YBN Nahmir,Rubbin Off The Paint,46,10,17,6V4KHt9xu4TPEnDFoBeacT,1.0,68
952,Khalid,Young Dumb & Broke,18,4,36,5Z3GHaZ6ec9bsiI5BenrbY,0.0,82
953,Charlie Puth,How Long,21,5,24,6wmAHw1szh5RCKSRjiXhPe,0.0,73
954,XXXTENTACION,Going Down!,95,19,1,7CkbRn6S0itJqcqn88AtSV,1.0,67
955,The Chainsmokers,Everybody Hates Me,100,20,1,6ufrOaf4v6Qady6GiIpQ0s,0.0,64
956,Demi Lovato,Sorry Not Sorry,6,2,36,7gvd8xj4QgPqbQSsn5pV7d,1.0,79
957,Logic,Contra,60,12,1,7u90MSvVyEjL0c8icaE7jl,1.0,58
958,Logic,Overnight,68,14,1,3s3VVLE1kB7Xk2AoJKlGmr,1.0,58
959,Logic,Midnight,74,15,1,1GtVGc1UYin3zpMUdNSSpM,1.0,61
960,Logic,Yuck,87,18,1,0D5CXSUx8GOCHSY8KWgi9h,1.0,56
961,"ScHoolboy Q, 2 Chainz & Saudi",X,49,10,5,4LmAnpjlhWTahvRkYR8xJa,1.0,69
962,Logic,BoomTrap Protocol,97,20,1,4fZxGiES1FKbNqJPrI4L3s,1.0,56
963,SOB X RBE,Paramedic!,65,13,4,2tPcTFiQF9MbVUyjZ3zDhA,1.0,66
964,5 Seconds Of Summer,Want You Back,61,13,1,2vHfabj6nFebekTYODqntl,1.0,67
965,Russell Dickerson,Yours,49,10,20,3I4WFddKpe2PGZWFh7f10J,0.0,70
966,Walker Hayes,You Broke Up With Me,62,13,19,5jZF1nvKORdaHNjNNMRbFl,0.0,64
967,6ix9ine,Kooda,50,10,9,0tYHqwTW4s6VuPWDSD7n7K,1.0,69
968,Khalid & Swae Lee,The Ways,63,13,3,5jyyPsIGM2yqkZN9R3TmvN,1.0,65
969,Janelle Monae,Make Me Feel,99,20,1,5gW5dSy3vXJxgzma4rQuzH,1.0,66
970,Plies,Rock,95,19,5,0QVISdPWRllAmoDBG3DEHU,1.0,53
971,Ed Sheeran,Shape Of You,1,1,59,7qiZfU4dY1lWllzX7mPBI3,0.0,85
972,Sam Smith,Too Good At Goodbyes,4,1,24,3VlbOrM6nYPprVvzBZllE5,0.0,75
973,Lil Pump,Gucci Gang,3,1,24,43ZyHQITOjhciSUUNPVRHc,1.0,72
974,Kendrick Lamar & Travis Scott,Big Shot,71,15,2,5cXg9IQS34FzLVdHhp7hu7,1.0,68
975,Kelsea Ballerini,Legends,68,14,12,6vlxmQGwmlyp07YjkugV6K,0.0,57
976,Liam Payne & Rita Ora,For You (Fifty Shades Freed),76,16,3,66xn6tB8s3l8uhj02OGneE,0.0,65
977,WALK THE MOON,One Foot,65,13,8,0iQ77tSa7ncj7zBPtVx6cU,0.0,64
978,Keith Urban,Female,69,14,6,1t34UsQ634a233qysq6D6L,0.0,57
979,Justin Timberlake,Filthy,9,2,6,1L3NV7VrCiuE8C5QlhdeQL,0.0,51
980,Kendrick Lamar,Black Panther,91,19,1,5qN4HFkapdAOV94XPryVof,1.0,57
981,Brett Young,Like I Loved You,46,10,20,3T6MAweakkNrMYs8jZIWtg,0.0,67
982,Chris Young,Losing Sleep,60,12,20,6waqLPcT6ruMhmd36OhmFO,0.0,65
983,Justin Timberlake,Man Of The Woods,73,15,1,4KTU5aa5s547f1JF5DImhF,0.0,55
984,Drake,Diplomatic Immunity,7,2,3,4haJoBPbPj9QFKNpp9e8kx,1.0,55
985,The Chainsmokers,Sick Boy,65,13,3,58kZ9spgxmlEznXGu6FPdQ,0.0,72
986,Easton Corbin,A Girl Like You,98,20,1,3AsNVBJ7LHsltdu9490ZiS,0.0,59
987,Justin Timberlake,Supplies,71,15,2,6jT85s2dZ55HBqjXYi2rfI,0.0,54
988,Imagine Dragons,Believer,4,1,52,0pqnGHJpmpxLKifKRmU6WP,0.0,87
989,Migos,Supastars,53,11,1,7yt6eiZQCkVFEzwGp4Pbor,1.0,55
990,Migos,Gang Gang,73,15,1,6RKkHI2fkmgZq7uQPPav8f,1.0,59
991,Migos,Higher We Go (Intro),83,17,1,43dOwOq0mB4i6j4SpcSkqC,1.0,52
992,Migos,Auto Pilot,85,17,1,4Kw3CztmD15X1QGDnnHmLD,1.0,50
993,Migos,Emoji A Chain,87,18,1,0G9rmRmQDFk9O2tzZLyRkc,1.0,52
994,Eric Church,Round Here Buzz,56,12,19,52ioLaTnO2J7BWY8UN2n9D,0.0,63
995,21 Savage,Bank Account,12,3,29,2fQrGHiQOvpL9UgPvtYy6G,1.0,79
996,Charlie Puth,Attention,5,1,40,5cF0dROlMOK5uNZtivgu50,0.0,81
997,LANCO,Greatest Love Story,45,9,21,2yQZwi1P8AkkxxFhQ8rMEK,0.0,73
998,NF,No Name,82,17,1,7hdw5gAGMyyn9z0XgfTv1j,0.0,66
999,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,88,18,4,4ylWMuGbMXNDgDd8lErEle,0.0,74
1000,Loren Allred,Never Enough,88,18,4,0Gl5s8IhMmQE5YQwM8Qx1J,0.0,75
1001,Lil Baby,My Dawg,71,15,7,7CEJH5Ed7FBbXF6CqBQPlJ,1.0,62
1002,SZA,The Weekend,29,6,25,6gU9OKjOE7ghfEd55oRO57,1.0,75
1003,Troye Sivan,My My My!,80,16,1,4NiehSBQthimPzRsVeOgCT,0.0,73
1004,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,75,15,6,038kavjqUaGIYZL5lYocvX,1.0,55
1005,Taylor Swift,...Ready For It?,4,1,20,2yLa0QULdQr0qAIvVwN6B5,0.0,70
1006,Bruno Mars,That's What I Like,1,1,52,0KKkJNfGyhkQ5aFogxQAPU,0.0,81
1007,Maren Morris,I Could Use A Love Song,56,12,21,09iyGiljLWRYXdRazFkdtJ,0.0,72
1008,Niall Horan,Too Much To Ask,66,14,12,39jXnbACjiaiTwwhsr5sY5,1.0,73
1009,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,90,18,5,0OI7AFifLSoGzpb8bdBLLV,0.0,74
1010,Yo Gotti,Juice,90,18,6,1psC5iHzQxaTMZ5dWGfM6I,1.0,55
1011,P!nk,What About Us,13,3,22,0Qh38w01QRXK6KHIv0e3hb,0.0,75
1012,Taylor Swift,Look What You Made Me Do,1,1,20,1P17dC1amhFzptugyAO7Il,0.0,75
1013,Luke Bryan,Light It Up,57,12,19,5w3NgfV8v1nNZFLUBlGHIL,0.0,62
1014,Tay-K,The Race,44,9,20,3wGXyJGsCf1myH5MooQIqE,1.0,72
1015,Huncho Jack,Modern Slavery,68,14,1,7J6bnDDitOwfelaJNixHhL,1.0,61
1016,Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley),69,14,1,7ER7vcy7u2ajg5IV45WBFw,0.0,64
1017,Huncho Jack,Black & Chinese,71,15,1,628Ueb4sRiXApObhcU9iPU,1.0,65
1018,Huncho Jack,Huncho Jack,87,18,1,5vuiHi3QYbwcm1OKJOYnrf,1.0,58
1019,Huncho Jack,Motorcycle Patches,90,18,1,7g7raxdQpiLZT7aOlib4S1,1.0,66
1020,Huncho Jack,Saint,92,19,1,7foypmc7KZyU716Yv63BPe,1.0,66
1021,Addison Agen,Tennessee Rain,67,14,1,54p39OJ544KF6iFeCzbVjs,0.0,37
1022,Chloe Kohanski,Wish I Didn't Love You,69,14,1,0SqmAwQrNyypiTroSwVjbX,0.0,26
1023,Red Marlow,I Pray,84,17,1,4cF4l5ShMLqMCFeabt8Xa6,0.0,21
1024,Eminem,Believe,92,19,1,4iTyf5pLZMOR8YrEZgSopo,1.0,61
1025,Kendrick Lamar,Humble.,1,1,37,7KXjTSCq5nL1LoYtL7XAwS,1.0,82
1026,Shawn Mendes,There's Nothing Holdin' Me Back,6,2,34,7JJmb5XwzOO8jgpou264Ml,0.0,81
1027,Luke Combs,When It Rains It Pours,33,7,20,1mMLMZYXkMueg65jRRWG1l,0.0,79
1028,Thomas Rhett,Unforgettable,47,10,20,30MM5jWpUmOxtTNd9Ey5LZ,0.0,70
1029,Migos & Marshmello,Danger,82,17,1,0nhVrTiCGiGRCoZOJiWzm1,1.0,72
1030,Eminem,Untouchable,86,18,1,6IvespQWGW4USXwexlVKDm,1.0,53
1031,Kelly Clarkson,Love So Soft,47,10,13,16QN8cBubEq706vNtPpOME,0.0,59
1032,Kodak Black,Transportin',46,10,16,1WIZiOuNO3woKfdlSK2gNn,1.0,70
1033,Lil Uzi Vert,Sauce It Up,49,10,15,1uL78kFWxhz3umTMWJu8n5,1.0,69
1034,Kesha,Praying,22,5,21,0jdny0dhgjUwoIp5GkqEaA,0.0,74
1035,blackbear,Do Re Mi,40,8,25,3Q3myFA7q4Op95DOpHplaY,1.0,78
1036,Niall Horan,Slow Hands,11,3,31,2cOUlop2ZakjOKe4WinesN,0.0,76
1037,Chris Janson,Fix A Drink,67,14,14,0s6OWiWGuiCcm1Muzch5A8,0.0,63
1038,Post Malone,Go Flex,76,16,11,5yuShbu70mtHXY0yLzCQLQ,1.0,79
1039,Chloe Kohanski,Total Eclipse Of The Heart,99,20,1,1pFkLWesh2zpoFTs2g4SFt,0.0,25
1040,Lil Peep,Awful Things,79,16,1,7Hr2XoaGpIMKbNXCZDZ3le,1.0,74
1041,Carly Pearce,Every Little Thing,50,10,17,2wxfu24GQpEZQrjDJm5Ac1,0.0,62
1042,Chris Brown,Questions,78,16,13,3ojTJaonfkL96iIWa47SU3,0.0,67
1043,Lil Uzi Vert,XO TOUR Llif3,7,2,34,7GX5flRQZVHRAGd6B4TmDO,1.0,84
1044,The Chainsmokers & Coldplay,Something Just Like This,3,1,39,1dNIEtp7AY3oDAKCGg2XkH,0.0,75
1045,Taylor Swift,Call It What You Want,27,6,2,1GwMQaZz6Au3QLDbjbMdme,0.0,68
1046,Taylor Swift,Gorgeous,13,3,4,1ZY1PqizIl78geGM4xWlEA,0.0,70
1047,Florida Georgia Line,Smooth,89,18,7,31x4wWBghN7f5PiEZUmcAW,0.0,59
1048,G-Eazy,The Plan,96,20,1,7fOPVfABNLg3sxtgXBhBdp,1.0,57
1049,Sam Hunt,Body Like A Back Road,6,2,41,7mldq42yDuxiUNn08nvzHO,0.0,77
1050,Khalid,Location,16,4,43,152lZdxL1OR0ZMW6KquMif,0.0,80
1051,Jon Pardi,Heartache On The Dance Floor,47,10,18,0w3Q14i073jLoew1hgJkwD,0.0,73
1052,Jacquees,B.E.D.,69,14,13,1B6TmCvKjC4dopBohVW51x,1.0,69
1053,Kenny Chesney,All The Pretty Girls,63,13,14,66pxmg3Jhjm09tHoWR1wVR,0.0,70
1054,Kip Moore,More Girls Like You,66,14,12,73WWkaWkIRSP3MYGZ14aY4,0.0,61
1055,Future,Feed Me Dope,68,14,1,3lyeSiAIdLoZUHhV8psOTI,1.0,54
1056,Future,4 Da Gang,92,19,1,3IJ6BBFLD2I2CH3hHFQj3O,1.0,53
1057,Justin Bieber + BloodPop,Friends,20,4,10,7iNIg7XDEaYECfWD5dJ9Va,0.0,72
1058,Liam Payne,Bedroom Floor,98,20,1,1OG4nxGMy72EklX2DwcN3Z,0.0,54
1059,James Arthur,Say You Won't Let Go,11,3,52,5uCax9HTNlzGybIStD3vDh,0.0,84
1060,Dustin Lynch,Small Town Boy,36,8,20,2YMhrXQYKkm4kXLcXKKd5z,0.0,73
1061,Jason Aldean,They Don't Know,67,14,12,3bzE57iNavJJxXL9GgBiOK,0.0,56
1062,Billy Currington,Do I Make You Wanna,47,10,19,3I7krC8kr0gFR7P6vInR1I,0.0,71
1063,A Boogie Wit da Hoodie,No Promises,74,15,2,2BJpuAoDeQ1QuPvnryfAWK,1.0,57
1064,A Boogie Wit da Hoodie,Say A',75,15,2,3AMnOVxEHUgVrythGgqPhI,1.0,62
1065,BTS,DNA,67,14,4,5SE57ljOIUJ1ybL9U6CuBH,0.0,71
